sr_no,Country,Other Names,Cuntry Code,Population,Continent,Total Cases,Total Deaths,Total�Cases//1M pop,Per M Population Deaths Cases
214,Uruguay,Uruguay,URY,3494806,Latin America and the Caribbean,889513,7166,254524,2050
215,United States of America,United States of America,USA,334400597,Northern America,81839052,1008222,244734,3015
216,Uzbekistan,Uzbekistan,UZB,34318156,Asia,237853,1637,6931,48
217,Vanuatu,Vanuatu,VUT,319701,Oceania,4107,2,12846,6
218,Vatican City,Holy See,VAT,805,Europe,29,0,36025,0
219,Venezuela,Venezuela (Bolivarian Republic of),VEN,28294895,Latin America and the Caribbean,520843,5686,18408,201
220,Vietnam,Viet Nam,VNM,98871712,Asia,9818328,42600,99304,431
221,Wallis and Futuna,Wallis and Futuna Islands,WLF,10894,Oceania,454,7,41674,643
222,Western Sahara,Western Sahara,ESHÂ ,623031,Africa,10,1,16,2
223,Yemen,Yemen,YEM,30975258,Asia,11806,2143,381,69
224,Zambia,Zambia,ZMB,19284482,Africa,317076,3967,16442,206
225,Zimbabwe,Zimbabwe,ZWE,15241601,Africa,246525,5446,16174,357
